Date,Residential,Change in private inventories,Personal consumption expenditures,Intellectual property products,Metric_Name
1990/09/12,,"-14,323","6,353,139",,Chained Dollars
1990/09/13,,"-14,323","6,353,139",,Chained Dollars
1990/09/14,,"-14,323","6,353,139",,Chained Dollars
1990/09/15,,"-14,323","6,353,139",,Chained Dollars
1990/09/16,,"-14,323","6,353,139",,Chained Dollars
1990/09/17,,"-14,323","6,353,139",,Chained Dollars
1990/09/18,,"-14,323","6,353,139",,Chained Dollars
1990/09/19,,"-14,323","6,353,139",,Chained Dollars
1990/09/20,,"-14,323","6,353,139",,Chained Dollars
1990/09/21,,"-14,323","6,353,139",,Chained Dollars
1990/09/22,,"-14,323","6,353,139",,Chained Dollars
1990/09/23,,"-14,323","6,353,139",,Chained Dollars
1990/09/24,,"-14,323","6,353,139",,Chained Dollars
1990/09/25,,"-14,323","6,353,139",,Chained Dollars
1990/09/26,,"-14,323","6,353,139",,Chained Dollars
1990/09/27,,"-14,323","6,353,139",,Chained Dollars
1990/09/28,,"-14,323","6,353,139",,Chained Dollars
1990/09/29,,"-14,323","6,353,139",,Chained Dollars
1990/09/30,,"-14,323","6,353,139",,Chained Dollars
1990/10/01,,"-14,323","6,353,139",,Chained Dollars
1990/10/02,,"-14,323","6,353,139",,Chained Dollars
1990/10/03,,"-14,323","6,353,139",,Chained Dollars
1990/10/04,,"-14,323","6,353,139",,Chained Dollars
1990/10/05,,"-14,323","6,353,139",,Chained Dollars
1990/10/06,,"-14,323","6,353,139",,Chained Dollars
1990/10/07,,"-14,323","6,353,139",,Chained Dollars
1990/10/08,,"-14,323","6,353,139",,Chained Dollars
1990/10/09,,"-14,323","6,353,139",,Chained Dollars
1990/10/10,,"-14,323","6,353,139",,Chained Dollars
1990/10/11,,"-14,323","6,353,139",,Chained Dollars
1990/10/12,,"-14,323","6,353,139",,Chained Dollars
1990/10/13,,"-14,323","6,353,139",,Chained Dollars
1990/10/14,,"-14,323","6,353,139",,Chained Dollars
1990/10/15,,"-14,323","6,353,139",,Chained Dollars
1990/10/16,,"-14,323","6,353,139",,Chained Dollars
1990/10/17,,"-14,323","6,353,139",,Chained Dollars
1990/10/18,,"-14,323","6,353,139",,Chained Dollars
1990/10/19,,"-14,323","6,353,139",,Chained Dollars
1990/10/20,,"-14,323","6,353,139",,Chained Dollars
1990/10/21,,"-14,323","6,353,139",,Chained Dollars
1990/10/22,,"-14,323","6,353,139",,Chained Dollars
1990/10/23,,"-14,323","6,353,139",,Chained Dollars
1990/10/24,,"-14,323","6,353,139",,Chained Dollars
1990/10/25,,"-14,323","6,353,139",,Chained Dollars
1990/10/26,,"-14,323","6,353,139",,Chained Dollars
1990/10/27,,"-14,323","6,353,139",,Chained Dollars
1990/10/28,,"-14,323","6,353,139",,Chained Dollars
1990/10/29,,"-14,323","6,353,139",,Chained Dollars
1990/10/30,,"-14,323","6,353,139",,Chained Dollars
1990/10/31,,"-14,323","6,353,139",,Chained Dollars
1990/11/01,,"-14,323","6,353,139",,Chained Dollars
1990/11/02,,"-14,323","6,353,139",,Chained Dollars
1990/11/03,,"-14,323","6,353,139",,Chained Dollars
1990/11/04,,"-14,323","6,353,139",,Chained Dollars
1990/11/05,,"-14,323","6,353,139",,Chained Dollars
1990/11/06,,"-14,323","6,353,139",,Chained Dollars
1990/11/07,,"-14,323","6,353,139",,Chained Dollars
1990/11/08,,"-14,323","6,353,139",,Chained Dollars
1990/11/09,,"-14,323","6,353,139",,Chained Dollars
1990/11/10,,"-14,323","6,353,139",,Chained Dollars
1990/11/11,,"-14,323","6,353,139",,Chained Dollars
1990/11/12,,"-14,323","6,353,139",,Chained Dollars
1990/11/13,,"-14,323","6,353,139",,Chained Dollars
1990/11/14,,"-14,323","6,353,139",,Chained Dollars
1990/11/15,,"-14,323","6,353,139",,Chained Dollars
1990/11/16,,"-14,323","6,353,139",,Chained Dollars
1990/11/17,,"-14,323","6,353,139",,Chained Dollars
1990/11/18,,"-14,323","6,353,139",,Chained Dollars
1990/11/19,,"-14,323","6,353,139",,Chained Dollars
